accuracy,precision,recall,f1,roc_auc,pr_auc,season,recall_at_15,hits_at_15,eligible_players
0.9318181818181818,NA,0,NA,0.931910569105691,0.5804494547584705,2011,0.9166666666666666,11,53
0.9226519337016574,NA,0,NA,0.8691189050470488,0.2675611126152265,2012,0.8571428571428571,12,54
0.9325842696629213,1,0.14285714285714285,0.25,0.9272648083623694,0.6336385613692951,2013,0.8571428571428571,12,40
0.9285714285714286,NA,0,NA,0.8384160218479745,0.20847828027354373,2014,0.6153846153846154,8,62
0.9431818181818182,0.5,0.1,0.16666666666666669,0.8867469879518073,0.42264434573519133,2015,0.8,8,37
0.956989247311828,1,0.1111111111111111,0.19999999999999998,0.9504080351537979,0.49604480674323276,2016,0.8888888888888888,8,42
0.9273743016759777,0.5,0.07692307692307693,0.13333333333333336,0.8827618164967563,0.39708340439335155,2017,0.8461538461538461,11,41
0.943502824858757,0.5,0.3,0.37499999999999994,0.9520958083832335,0.5095355626284995,2018,1,10,36
0.9395604395604396,0.3333333333333333,0.1,0.15384615384615383,0.8569767441860465,0.29358810164408167,2019,0.8,8,41
0.9385474860335196,0.5,0.09090909090909091,0.15384615384615385,0.8433441558441558,0.36226599389647685,2020,0.8181818181818182,9,33
0.9175257731958762,NA,0,NA,0.851123595505618,0.27859718585729837,2021,1,8,31
0.9322033898305084,0.25,0.1,0.14285714285714288,0.8706586826347306,0.3151378083851958,2022,0.6,6,55
0.9195402298850575,0,0,NA,0.8432794199665365,0.18418677182171103,2023,0.9090909090909091,10,43
0.8971428571428571,0,0,NA,0.7916666666666666,0.1912180313084813,2024,0.7333333333333333,11,53
0.9269662921348315,1,0.13333333333333333,0.23529411764705882,0.8323108384458078,0.43221243333854453,2025,0.6666666666666666,10,54
0.9176470588235294,1,0.06666666666666667,0.125,0.8808602150537634,0.3537170798455803,2026,0.6666666666666666,10,66
