season,list_type,rank,athlete_display_name,team_display_name,prob,truth,in_top_k,all_conference,avg_PIE,PER,net_rating,ts_percent,ws
2025,top_predicted,1,Daniel Batcho,Louisiana Tech Bulldogs,0.659427777777778,1,TRUE,1,0.17518307740129524,29.02436110436851,5.3,0.72,5.2
2025,top_predicted,2,Essam Mostafa,Middle Tennessee Blue Raiders,0.6109357142857144,1,TRUE,1,0.17964039406366056,28.58350226387188,6.3,0.621,5.3
2025,top_predicted,3,Simeon Cottle,Kennesaw State Owls,0.4182976190476191,1,TRUE,1,0.14006583637668582,17.577890789570624,1.1,0.546,3.6
2025,top_predicted,4,Jaron Pierre Jr.,Jacksonville State Gamecocks,0.4048333333333331,1,TRUE,1,0.19821946420103392,19.441816063516395,3.3,0.547,5.1
2025,top_predicted,5,Adrian Wooley,Kennesaw State Owls,0.38403174603174567,1,TRUE,1,0.1858625374161988,22.37637274865464,4.7,0.636,4.9
2025,top_predicted,6,Lamar Wilkerson,Sam Houston Bearkats,0.36578968253968236,1,TRUE,1,0.1858793419942173,21.339562643345527,5.2,0.617,4.5
2025,top_predicted,7,Taelon Peter,Liberty Flames,0.3435261904761906,1,TRUE,1,0.11992355406856688,26.86989519960511,9,0.724,5.3
2025,top_predicted,8,Otis Frazier III,UTEP Miners,0.17175476190476188,1,TRUE,1,0.17386438647690405,21.370300194579976,4.5,0.559,3.7
2025,top_predicted,9,Zach Cleveland,Liberty Flames,0.15462460317460316,1,TRUE,1,0.1351569259662568,16.455969875175875,3,0.508,3.8
2025,top_predicted,10,Robert Carpenter,New Mexico State Aggies,0.13832063492063496,0,TRUE,0,0.12757211799781454,18.16710497251164,3.1,0.493,2.7
2025,top_predicted,11,Michael Houge,Jacksonville State Gamecocks,0.12969603174603175,0,TRUE,0,0.10675653292072208,17.165948496201658,-0.6,0.509,2.9
2025,top_predicted,12,Christian Cook,New Mexico State Aggies,0.12405873015873017,1,TRUE,1,0.09945653456319714,12.263966440550478,0.9,0.493,2.8
2025,top_predicted,13,Mason Nicholson,Jacksonville State Gamecocks,0.12162857142857146,0,TRUE,0,0.12969364863673358,19.41595656304047,4.1,0.629,4.1
2025,top_predicted,14,Owen Aquino,Liberty Flames,0.11517936507936509,0,TRUE,0,0.10846209477383212,18.72267127225965,3.3,0.61,4.1
2025,top_predicted,15,Jlynn Counter,Middle Tennessee Blue Raiders,0.093184126984127,0,TRUE,0,0.12716872337591906,17.091488139780864,3.8,0.535,2.9
2025,actual,1,Daniel Batcho,Louisiana Tech Bulldogs,0.659427777777778,1,TRUE,1,0.17518307740129524,29.02436110436851,5.3,0.72,5.2
2025,actual,2,Essam Mostafa,Middle Tennessee Blue Raiders,0.6109357142857144,1,TRUE,1,0.17964039406366056,28.58350226387188,6.3,0.621,5.3
2025,actual,3,Simeon Cottle,Kennesaw State Owls,0.4182976190476191,1,TRUE,1,0.14006583637668582,17.577890789570624,1.1,0.546,3.6
2025,actual,4,Jaron Pierre Jr.,Jacksonville State Gamecocks,0.4048333333333331,1,TRUE,1,0.19821946420103392,19.441816063516395,3.3,0.547,5.1
2025,actual,5,Adrian Wooley,Kennesaw State Owls,0.38403174603174567,1,TRUE,1,0.1858625374161988,22.37637274865464,4.7,0.636,4.9
2025,actual,6,Lamar Wilkerson,Sam Houston Bearkats,0.36578968253968236,1,TRUE,1,0.1858793419942173,21.339562643345527,5.2,0.617,4.5
2025,actual,7,Taelon Peter,Liberty Flames,0.3435261904761906,1,TRUE,1,0.11992355406856688,26.86989519960511,9,0.724,5.3
2025,actual,8,Otis Frazier III,UTEP Miners,0.17175476190476188,1,TRUE,1,0.17386438647690405,21.370300194579976,4.5,0.559,3.7
2025,actual,9,Zach Cleveland,Liberty Flames,0.15462460317460316,1,TRUE,1,0.1351569259662568,16.455969875175875,3,0.508,3.8
2025,actual,10,Christian Cook,New Mexico State Aggies,0.12405873015873017,1,TRUE,1,0.09945653456319714,12.263966440550478,0.9,0.493,2.8
2025,actual,11,Peter Filipovity,New Mexico State Aggies,0.07670873015873016,1,FALSE,1,0.18850585578603749,18.59961780699431,3.5,0.517,2.9
2025,actual,12,Don McHenry,Western Kentucky Hilltoppers,0.050996031746031754,1,FALSE,1,0.15270261210422154,19.818722394031976,3.3,0.517,2.8
2025,actual,13,Sean Newman Jr.,Louisiana Tech Bulldogs,0.04724841269841269,1,FALSE,1,0.12260408508808196,14.107331294789264,-0.8,0.526,3
2025,actual,14,Jestin Porter,Middle Tennessee Blue Raiders,0.03798333333333333,1,FALSE,1,0.10037251986397663,14.259460425874808,0.5,0.542,3.1
2025,actual,15,Kaden Metheny,Liberty Flames,0.02808174603174602,1,FALSE,1,0.10390476438007357,14.366179099473936,1.3,0.576,3.6
