term,univariate_or,univariate_rank,n_univariate,ridge_or,lasso_1se_selected,lasso_1se_or,lasso_min_selected,lasso_min_or
ws,4.813089423270576,4,2767,1.2488394413779638,FALSE,1,FALSE,1
PER,4.054628323524672,6,2893,1.232432124821002,TRUE,1.4022355438453131,TRUE,1.5027961549340674
avg_PIE,2.566457694918165,13,2893,0.8033303566791757,TRUE,0.47828585827478437,TRUE,0.3624559314021654
bpm,2.4370082567928146,15,2767,0.9871286936497874,FALSE,1,FALSE,1
net_rating,2.4370082567928146,16,2767,NA,NA,NA,NA,NA
ts_percent,1.871358125808759,21,2893,1.1391539502857522,FALSE,1,FALSE,1
