term,coefficient,odds_ratio,in_final_five
ws_40,1.1346955529229334,3.1102264993833737,FALSE
MP,0.7504598254595639,2.1179736909611817,FALSE
avg_PIE,-0.7375466953757132,0.47828585827478437,TRUE
dbpm,-0.5907844065775508,0.5538926372587012,FALSE
BLK,0.41850652999329657,1.5196902481709065,FALSE
DRB,0.4184278283435132,1.5195706507475348,FALSE
usg_percent,0.41191705705128645,1.5097092114018607,FALSE
STL,0.3937314276733463,1.4825023361010319,FALSE
TOV,0.35351143216919745,1.424059266944797,FALSE
PER,0.33806778009683985,1.4022355438453131,TRUE
ORB,-0.32044854793473093,0.7258233974607523,FALSE
FGM,0.2701206461247738,1.3101225024017888,FALSE
GP,-0.25321083242448256,0.7763041944735869,FALSE
PF,-0.20908501788104195,0.811326255472105,FALSE
TPM,0.13824588062286147,1.1482578499220941,FALSE
AST,0.06220432003304363,1.064179755759424,FALSE
f_tr,0.059875065211410866,1.0617038945075004,FALSE
