,,,Totals,,,,,,,,Shooting,,,,Per Game,,,,
Season,Player,School,G,GS,PTS,TRB,AST,STL,BLK,WS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK
2008-09,Randy Culpepper,UTEP,37,13,648,109,67,67,11,4.3,0.41,0.473,0.346,0.745,17.5,2.9,1.8,1.8,0.3
2007-08,Chris Douglas-Roberts,Memphis,40,40,724,165,71,49,18,8.1,0.541,0.578,0.413,0.712,18.1,4.1,1.8,1.2,0.5
2007-08,Derrick Rose,Memphis,40,39,597,181,189,48,15,6.6,0.477,0.521,0.337,0.712,14.9,4.5,4.7,1.2,0.4
2007-08,Rob McKiver,Houston,34,33,801,131,99,56,2,6.1,0.396,0.415,0.386,0.884,23.6,3.9,2.9,1.6,0.1
2007-08,Robert Vaden,UAB,33,33,695,116,85,32,7,5.1,0.408,0.424,0.4,0.863,21.1,3.5,2.6,1,0.2
2007-08,Stefon Jackson,UTEP,33,33,778,188,57,39,3,4.7,0.464,0.495,0.333,0.729,23.6,5.7,1.7,1.2,0.1
2007-08,Ben Uzoh,Tulsa,39,39,608,212,88,39,29,6.2,0.488,0.569,0.35,0.806,15.6,5.4,2.3,1,0.7
2007-08,David Gomez,Tulane,32,31,462,197,29,27,51,4.5,0.538,0.548,0.409,0.721,14.4,6.2,0.9,0.8,1.6
2007-08,Jeremy Wise,Southern Mississippi,33,33,617,101,137,39,13,4.9,0.421,0.463,0.318,0.818,18.7,3.1,4.2,1.2,0.4
2007-08,Jermaine Taylor,UCF,31,29,646,147,52,35,9,4.5,0.461,0.531,0.367,0.795,20.8,4.7,1.7,1.1,0.3
2007-08,Joey Dorsey,Memphis,38,33,261,362,20,41,74,7.5,0.647,0.647,,0.378,6.9,9.5,0.5,1.1,1.9
2007-08,Dion Dowell,Houston,34,30,371,231,35,21,52,5.3,0.426,0.456,0.408,0.879,10.9,6.8,1,0.6,1.5
2007-08,Jon Killen,Southern Methodist,30,30,388,105,154,44,3,2.6,0.432,0.475,0.403,0.644,12.9,3.5,5.1,1.5,0.1
2007-08,Lawrence Kinnard,UAB,34,15,377,232,40,24,28,3.2,0.41,0.444,0.363,0.7,11.1,6.8,1.2,0.7,0.8
2007-08,Markel Humphrey,Marshall,27,25,354,151,54,23,9,2.9,0.469,0.5,0.375,0.614,13.1,5.6,2,0.9,0.3
2007-08,Robert Dozier,Memphis,37,36,339,250,39,41,68,5.6,0.44,0.458,0.303,0.675,9.2,6.8,1.1,1.1,1.8
2006-07,Chris Douglas-Roberts,Memphis,35,35,538,120,61,39,16,5.9,0.543,0.585,0.328,0.732,15.4,3.4,1.7,1.1,0.5
2006-07,Joey Dorsey,Memphis,37,37,313,347,13,53,81,7.8,0.614,0.614,,0.467,8.5,9.4,0.4,1.4,2.2
2006-07,Morris Almond,Rice,32,32,844,210,37,38,24,7.1,0.483,0.496,0.456,0.846,26.4,6.6,1.2,1.2,0.8
2006-07,Paul Delaney,UAB,31,31,481,150,160,59,10,4.5,0.459,0.515,0.257,0.708,15.5,4.8,5.2,1.9,0.3
2006-07,Rob McKiver,Houston,33,32,634,106,112,44,1,3.4,0.378,0.45,0.338,0.725,19.2,3.2,3.4,1.3,0
2006-07,Jeremy Hunt,Memphis,37,1,520,108,50,50,13,4.9,0.417,0.471,0.382,0.717,14.1,2.9,1.4,1.4,0.4
2006-07,Jeremy Wise,Southern Mississippi,31,31,541,106,94,27,9,3.8,0.401,0.423,0.358,0.834,17.5,3.4,3,0.9,0.3
2006-07,Josh Peppers,UCF,31,31,442,141,60,28,16,3.6,0.455,0.514,0.379,0.757,14.3,4.5,1.9,0.9,0.5
2006-07,Oliver Lafayette,Houston,33,33,473,196,102,78,8,3.4,0.354,0.387,0.326,0.758,14.3,5.9,3.1,2.4,0.2
2006-07,Stefon Jackson,UTEP,31,31,578,197,47,47,4,4.1,0.46,0.502,0.32,0.726,18.6,6.4,1.5,1.5,0.1
2006-07,David Gomez,Tulane,30,27,404,175,31,25,42,3.7,0.523,0.531,0.25,0.774,13.5,5.8,1,0.8,1.4
2006-07,Ike Ofoegbu,Southern Methodist,31,30,441,236,30,36,13,4.6,0.5,0.514,0.453,0.704,14.2,7.6,1,1.2,0.4
2006-07,Markel Humphrey,Marshall,32,32,449,209,45,25,12,2.9,0.435,0.498,0.311,0.724,14,6.5,1.4,0.8,0.4
2006-07,Rod Earls,Tulsa,31,30,348,110,62,39,6,3.5,0.387,0.352,0.408,0.882,11.2,3.5,2,1.3,0.2
2006-07,Wen Mukubu,UAB,31,30,443,178,76,44,11,3.7,0.419,0.432,0.4,0.659,14.3,5.7,2.5,1.4,0.4
2005-06,Carldell Johnson,UAB,31,31,227,92,194,80,0,3.3,0.431,0.392,0.477,0.727,7.3,3,6.3,2.6,0
2005-06,Darius Washington,Memphis,35,35,470,97,110,45,3,3.7,0.423,0.458,0.357,0.783,13.4,2.8,3.1,1.3,0.1
2005-06,John Tofi,UTEP,23,22,319,211,38,22,28,4.6,0.518,0.516,1,0.705,13.9,9.2,1.7,1,1.2
2005-06,Morris Almond,Rice,28,24,612,114,32,39,19,4.8,0.5,0.518,0.444,0.795,21.9,4.1,1.1,1.4,0.7
2005-06,Rodney Carney,Memphis,37,29,636,158,47,49,25,5.5,0.436,0.484,0.391,0.712,17.2,4.3,1.3,1.3,0.7
2005-06,Corey Rouse,East Carolina,28,28,399,301,40,26,30,4.5,0.526,0.527,0.5,0.573,14.3,10.8,1.4,0.9,1.1
2005-06,Jason Williams,UTEP,30,26,452,221,108,46,7,4.6,0.487,0.508,0.316,0.64,15.1,7.4,3.6,1.5,0.2
2005-06,Marvett McDonald,UAB,31,31,459,79,70,44,1,2.9,0.388,0.441,0.361,0.797,14.8,2.5,2.3,1.4,0
2005-06,Oliver Lafayette,Houston,31,30,488,128,55,105,4,3.1,0.364,0.431,0.319,0.685,15.7,4.1,1.8,3.4,0.1
2005-06,Ramon Dyer,Houston,31,27,376,190,19,55,33,5.3,0.457,0.566,0.377,0.604,12.1,6.1,0.6,1.8,1.1
2005-06,Bryan Hopkins,Southern Methodist,22,22,318,94,77,52,6,2.6,0.381,0.426,0.347,0.81,14.5,4.3,3.5,2.4,0.3
2005-06,Lanny Smith,Houston,30,30,364,79,162,52,4,2.9,0.377,0.403,0.354,0.649,12.1,2.6,5.4,1.7,0.1
2005-06,Mark Patton,Marshall,28,28,417,189,13,28,39,4,0.484,0.525,0.275,0.754,14.9,6.8,0.5,1,1.4
2005-06,Quincy Davis,Tulane,29,28,381,167,28,23,46,3.7,0.581,0.58,0.667,0.669,13.1,5.8,1,0.8,1.6
2005-06,Shawne Williams,Memphis,36,34,474,222,67,50,49,5.3,0.416,0.489,0.312,0.786,13.2,6.2,1.9,1.4,1.4
2004-05,Curtis Withers,Charlotte,28,28,503,228,49,31,25,4.1,0.468,0.475,0.423,0.662,18,8.1,1.8,1.1,0.9
2004-05,Eddie Basden,Charlotte,29,28,442,245,108,93,4,4.7,0.487,0.51,0.386,0.724,15.2,8.4,3.7,3.2,0.1
2004-05,Francisco Garcia,Louisville,38,38,595,158,148,65,56,7.5,0.437,0.496,0.366,0.877,15.7,4.2,3.9,1.7,1.5
2004-05,Quemont Greer,DePaul,29,29,530,219,23,17,21,3.8,0.457,0.488,0.356,0.619,18.3,7.6,0.8,0.6,0.7
2004-05,Travis Diener,Marquette,23,22,454,90,160,31,1,4.3,0.42,0.438,0.405,0.838,19.7,3.9,7,1.3,0
2004-05,Andre Owens,Houston,32,30,585,155,67,42,5,3.8,0.402,0.463,0.357,0.72,18.3,4.8,2.1,1.3,0.2
2004-05,Donell Taylor,UAB,33,32,511,146,98,67,11,5.1,0.506,0.563,0.395,0.786,15.5,4.4,3,2,0.3
2004-05,Jason Maxiell,Cincinnati,33,33,506,254,28,33,90,7.3,0.543,0.545,0.4,0.645,15.3,7.7,0.8,1,2.7
2004-05,Rodney Carney,Memphis,38,28,607,190,44,39,28,4.2,0.407,0.474,0.325,0.773,16,5,1.2,1,0.7
2004-05,Terrence Leather,South Florida,29,27,527,277,40,32,10,4.2,0.5,0.499,0.545,0.713,18.2,9.6,1.4,1.1,0.3
2004-05,Corey Santee,Texas Christian,35,34,501,100,127,43,2,2.8,0.409,0.462,0.353,0.575,14.3,2.9,3.6,1.2,0.1
2004-05,Darius Washington,Memphis,38,38,584,138,144,63,3,5.4,0.46,0.485,0.395,0.733,15.4,3.6,3.8,1.7,0.1
2004-05,Drake Diener,DePaul,31,30,441,89,88,20,2,4.8,0.466,0.472,0.462,0.909,14.2,2.9,2.8,0.6,0.1
2004-05,Eric Hicks,Cincinnati,32,28,438,287,24,15,72,5.5,0.519,0.534,0.25,0.585,13.7,9,0.8,0.5,2.3
2004-05,Taquan Dean,Louisville,37,31,533,149,90,41,0,5.5,0.445,0.44,0.447,0.813,14.4,4,2.4,1.1,0
2003-04,Antonio Burks,Memphis,30,30,481,96,165,71,7,5.1,0.474,0.511,0.413,0.632,16,3.2,5.5,2.4,0.2
2003-04,Curtis Withers,Charlotte,28,26,457,265,50,37,14,4,0.483,0.498,0.344,0.687,16.3,9.5,1.8,1.3,0.5
2003-04,Francisco Garcia,Louisville,28,27,460,127,131,52,38,5.9,0.432,0.524,0.325,0.797,16.4,4.5,4.7,1.9,1.4
2003-04,Sean Banks,Memphis,30,30,521,194,34,20,28,4.9,0.434,0.476,0.38,0.725,17.4,6.5,1.1,0.7,0.9
2003-04,Travis Diener,Marquette,31,31,584,97,187,41,0,4.9,0.422,0.397,0.45,0.883,18.8,3.1,6,1.3,0
2003-04,Andre Brown,DePaul,23,23,310,212,8,14,18,2.8,0.57,0.57,,0.482,13.5,9.2,0.3,0.6,0.8
2003-04,Charles Gaines,Southern Mississippi,28,28,439,290,21,33,37,4.5,0.495,0.498,0.25,0.727,15.7,10.4,0.8,1.2,1.3
2003-04,Delonte Holland,DePaul,32,32,528,174,65,38,6,3.6,0.466,0.49,0.348,0.795,16.5,5.4,2,1.2,0.2
2003-04,Jason Maxiell,Cincinnati,32,32,434,222,43,21,66,5.5,0.5,0.502,0,0.681,13.6,6.9,1.3,0.7,2.1
2003-04,Reggie Bryant,Saint Louis,28,28,459,109,54,19,7,3,0.398,0.426,0.367,0.769,16.4,3.9,1.9,0.7,0.3
2003-04,Corey Santee,Texas Christian,29,29,420,91,127,33,1,2.3,0.422,0.473,0.353,0.734,14.5,3.1,4.4,1.1,0
2003-04,Luke Whitehead,Louisville,29,24,322,223,41,32,16,3.6,0.452,0.463,0.316,0.716,11.1,7.7,1.4,1.1,0.6
2003-04,Morris Finley,UAB,29,28,402,59,52,52,2,1.6,0.38,0.434,0.33,0.697,13.9,2,1.8,1.8,0.1
2003-04,Terrence Leather,South Florida,26,23,403,219,41,16,4,2.2,0.493,0.528,0.194,0.673,15.5,8.4,1.6,0.6,0.2
2003-04,Tony Bobbitt,Cincinnati,32,1,428,108,60,48,3,4.6,0.455,0.551,0.401,0.843,13.4,3.4,1.9,1.5,0.1
2002-03,Chris Massie,Memphis,23,22,384,249,35,14,12,4.7,0.602,0.604,0,0.651,16.7,10.8,1.5,0.6,0.5
2002-03,Dwyane Wade,Marquette,33,33,710,209,145,71,43,6.5,0.501,0.519,0.318,0.779,21.5,6.3,4.4,2.2,1.3
2002-03,Louis Truscott,Houston,28,28,428,315,31,20,9,2.9,0.494,0.519,0.241,0.692,15.3,11.3,1.1,0.7,0.3
2002-03,Marque Perry,Saint Louis,30,30,514,142,97,29,7,3.1,0.432,0.47,0.26,0.8,17.1,4.7,3.2,1,0.2
2002-03,Reece Gaines,Louisville,32,32,574,94,159,55,4,5.5,0.462,0.534,0.391,0.736,17.9,2.9,5,1.7,0.1
2002-03,Demon Brown,Charlotte,29,27,487,75,50,38,2,3,0.376,0.3,0.391,0.596,16.8,2.6,1.7,1.3,0.1
2002-03,Leonard Stokes,Cincinnati,29,29,454,140,94,37,5,3.9,0.428,0.468,0.268,0.708,15.7,4.8,3.2,1.3,0.2
2002-03,Morris Finley,UAB,34,34,623,111,108,67,0,4.3,0.415,0.418,0.413,0.819,18.3,3.3,3.2,2,0
2002-03,Robert Jackson,Marquette,33,33,509,249,26,12,7,4.4,0.557,0.557,,0.779,15.4,7.5,0.8,0.4,0.2
2002-03,Travis Diener,Marquette,33,33,391,105,184,47,5,3.2,0.396,0.447,0.363,0.813,11.8,3.2,5.6,1.4,0.2
2002-03,Antonio Burks,Memphis,25,17,243,51,140,34,4,2.2,0.478,0.485,0.286,0.714,9.7,2,5.6,1.4,0.2
2002-03,Charles Gaines,Southern Mississippi,29,29,437,278,18,26,32,4.3,0.514,0.514,,0.662,15.1,9.6,0.6,0.9,1.1
2002-03,Sam Hoskin,DePaul,29,29,453,219,31,22,12,5.3,0.541,0.577,0.316,0.822,15.6,7.6,1.1,0.8,0.4
2002-03,Waitari Marsh,Tulane,27,25,395,113,89,36,7,2.8,0.449,0.505,0.348,0.778,14.6,4.2,3.3,1.3,0.3
2002-03,Will McDonald,South Florida,28,28,446,227,31,31,25,3.5,0.501,0.505,0.25,0.648,15.9,8.1,1.1,1.1,0.9
2001-02,Dajuan Wagner,Memphis,36,35,762,89,128,43,20,4.1,0.41,0.453,0.317,0.722,21.2,2.5,3.6,1.2,0.6
2001-02,Dwyane Wade,Marquette,32,32,571,211,110,79,36,6.8,0.487,0.505,0.346,0.69,17.8,6.6,3.4,2.5,1.1
2001-02,Jobey Thomas,Charlotte,30,30,556,95,47,28,0,4.6,0.433,0.432,0.433,0.899,18.5,3.2,1.6,0.9,0
2001-02,Kelly Wise,Memphis,32,25,359,330,40,28,50,6,0.568,0.568,,0.565,11.2,10.3,1.3,0.9,1.6
2001-02,Reece Gaines,Louisville,32,32,673,124,114,44,11,6.2,0.456,0.544,0.378,0.8,21,3.9,3.6,1.4,0.3
2001-02,Steve Logan,Cincinnati,35,35,770,107,187,32,0,8,0.457,0.519,0.374,0.873,22,3.1,5.3,0.9,0
2001-02,Altron Jackson,South Florida,32,29,616,204,83,62,15,3.6,0.433,0.469,0.356,0.705,19.3,6.4,2.6,1.9,0.5
2001-02,Cam Stephens,Charlotte,29,29,383,270,39,26,25,3.8,0.513,0.513,,0.67,13.2,9.3,1.3,0.9,0.9
2001-02,Cordell Henry,Marquette,33,33,500,78,107,32,0,4,0.457,0.498,0.376,0.83,15.2,2.4,3.2,1,0
2001-02,Junior Blount,Texas Christian,31,28,603,62,131,61,2,3.8,0.432,0.517,0.349,0.864,19.5,2,4.2,2,0.1
2001-02,Marque Perry,Saint Louis,27,26,382,73,89,25,2,2.4,0.439,0.498,0.25,0.756,14.1,2.7,3.3,0.9,0.1
2001-02,B.B. Waldon,South Florida,32,31,414,291,75,64,16,4,0.552,0.594,0.357,0.415,12.9,9.1,2.3,2,0.5
2001-02,Brandon Brown,Tulane,29,28,428,215,43,19,17,3.6,0.553,0.601,0.273,0.626,14.8,7.4,1.5,0.7,0.6
