,,,Totals,,,,,,,,Shooting,,,,Per Game,,,,
Season,Player,School,G,GS,PTS,TRB,AST,STL,BLK,WS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK
2000-01,Ledaryl Billingsley,Tulane,30,28,541,275,41,36,8,2.1,0.496,0.517,0.308,0.583,18,9.2,1.4,1.2,0.3
2000-01,Marques Maybin,Louisville,31,29,550,94,59,27,8,2.5,0.399,0.409,0.382,0.777,17.7,3,1.9,0.9,0.3
2000-01,Maurice Jeffers,Saint Louis,31,31,497,190,76,27,16,4.1,0.449,0.451,0.438,0.777,16,6.1,2.5,0.9,0.5
2000-01,Vandarel Jones,Southern Mississippi,31,31,395,230,20,10,77,6.8,0.617,0.619,0,0.618,12.7,7.4,0.6,0.3,2.5
2000-01,Bobby Simmons,DePaul,29,28,483,248,72,23,4,3.9,0.447,0.524,0.37,0.8,16.7,8.6,2.5,0.8,0.1
2000-01,Cordell Henry,Marquette,29,29,374,95,128,37,1,2.7,0.439,0.495,0.316,0.724,12.9,3.3,4.4,1.3,0
2000-01,David Wall,Southern Mississippi,28,24,393,90,33,16,1,2.4,0.401,0.404,0.399,0.656,14,3.2,1.2,0.6,0
2000-01,Jobey Thomas,Charlotte,33,32,462,93,40,38,0,4.1,0.436,0.521,0.402,0.909,14,2.8,1.2,1.2,0
2000-01,Kenny Satterfield,Cincinnati,35,34,504,165,177,60,6,4.6,0.387,0.415,0.333,0.788,14.4,4.7,5.1,1.7,0.2
1999-00,Gee Gervin,Houston,31,31,558,111,95,42,2,2.9,0.427,0.466,0.357,0.811,18,3.6,3.1,1.4,0.1
1999-00,Justin Love,Saint Louis,33,32,602,161,83,49,8,5.3,0.438,0.446,0.425,0.821,18.2,4.9,2.5,1.5,0.2
1999-00,Kenyon Martin,Cincinnati,31,31,585,300,42,43,107,9,0.568,0.573,0.286,0.684,18.9,9.7,1.4,1.4,3.5
1999-00,Pete Mickeal,Cincinnati,32,31,432,203,58,46,16,5.5,0.504,0.545,0.35,0.723,13.5,6.3,1.8,1.4,0.5
1999-00,Quentin Richardson,DePaul,33,33,561,325,72,35,9,5,0.432,0.464,0.384,0.706,17,9.8,2.2,1.1,0.3
1999-00,Altron Jackson,South Florida,31,13,565,144,56,49,16,4.1,0.517,0.545,0.39,0.63,18.2,4.6,1.8,1.6,0.5
1999-00,B.B. Waldon,South Florida,31,29,537,246,55,57,23,4.1,0.506,0.529,0.381,0.551,17.3,7.9,1.8,1.8,0.7
1999-00,Bobby Simmons,DePaul,33,33,433,262,53,48,10,4.9,0.461,0.516,0.326,0.759,13.1,7.9,1.6,1.5,0.3
1999-00,Brian Wardle,Marquette,29,29,482,132,64,15,2,3.7,0.445,0.467,0.4,0.783,16.6,4.6,2.2,0.5,0.1
1999-00,David Wall,Southern Mississippi,29,29,494,121,30,14,5,3.1,0.401,0.44,0.366,0.76,17,4.2,1,0.5,0.2
1999-00,DerMarr Johnson,Cincinnati,32,32,402,123,45,31,30,4.8,0.478,0.575,0.371,0.737,12.6,3.8,1.4,1,0.9
1999-00,Kelly Wise,Memphis,28,24,405,241,20,24,71,5.2,0.561,0.561,,0.58,14.5,8.6,0.7,0.9,2.5
1999-00,Marques Maybin,Louisville,30,30,440,81,58,27,10,3.6,0.494,0.591,0.241,0.755,14.7,2.7,1.9,0.9,0.3
1999-00,Nate Johnson,Louisville,31,31,432,168,96,60,21,3.8,0.477,0.481,0.451,0.692,13.9,5.4,3.1,1.9,0.7
1999-00,Tony Williams,Louisville,31,31,423,191,89,44,23,3.8,0.429,0.497,0.348,0.714,13.6,6.2,2.9,1.4,0.7
1998-99,Galen Young,Charlotte,34,33,500,245,103,52,19,3.9,0.411,0.426,0.338,0.701,14.7,7.2,3,1.5,0.6
1998-99,Gee Gervin,Houston,27,,556,113,106,49,6,3.3,0.423,0.437,0.4,0.791,20.6,4.2,3.9,1.8,0.2
1998-99,Kenyon Martin,Cincinnati,33,33,334,228,49,37,78,6.8,0.573,0.575,0,0.562,10.1,6.9,1.5,1.1,2.4
1998-99,Pete Mickeal,Cincinnati,33,33,493,236,57,51,9,6.9,0.583,0.595,0.375,0.701,14.9,7.2,1.7,1.5,0.3
1998-99,Quentin Richardson,DePaul,31,29,586,327,32,24,8,5.2,0.478,0.534,0.346,0.743,18.9,10.5,1,0.8,0.3
1998-99,B.B. Waldon,South Florida,28,,455,197,43,53,24,4.6,0.501,0.563,0.301,0.51,16.3,7,1.5,1.9,0.9
1998-99,Fred Williams,UAB,31,,482,195,35,17,2,3.5,0.531,0.567,0.225,0.743,15.5,6.3,1.1,0.5,0.1
1998-99,Melvin Levett,Cincinnati,33,33,467,115,47,27,10,3.3,0.404,0.48,0.333,0.753,14.2,3.5,1.4,0.8,0.3
1998-99,Neil Reed,Southern Mississippi,28,,506,91,55,27,1,3.7,0.4,0.442,0.356,0.845,18.1,3.3,2,1,0
1998-99,Omar Sneed,Memphis,28,28,467,211,48,39,5,3,0.506,0.547,0.162,0.642,16.7,7.5,1.7,1.4,0.2
1998-99,Alex Sanders,Louisville,30,28,343,188,75,28,25,3.3,0.493,0.595,0.313,0.603,11.4,6.3,2.5,0.9,0.8
1998-99,Cameron Murray,Louisville,30,28,355,75,116,43,3,3.3,0.454,0.489,0.404,0.773,11.8,2.5,3.9,1.4,0.1
1998-99,Kenny Younger,Houston,27,,423,210,42,33,12,2.4,0.485,0.506,0.386,0.625,15.7,7.8,1.6,1.2,0.4
1998-99,Lance Williams,DePaul,31,30,432,241,19,19,18,3.2,0.5,0.5,,0.532,13.9,7.8,0.6,0.6,0.6
1998-99,Nate Johnson,Louisville,27,27,332,121,55,47,16,2.6,0.473,0.509,0.298,0.759,12.3,4.5,2,1.7,0.6
1997-98,Bobby Brannen,Cincinnati,33,33,471,268,33,33,11,5.3,0.454,0.455,0,0.842,14.3,8.1,1,1,0.3
1997-98,DeMarco Johnson,Charlotte,31,31,653,280,44,42,18,6.3,0.501,0.518,0.36,0.779,21.1,9,1.4,1.4,0.6
1997-98,Larry Hughes,Saint Louis,32,32,670,162,77,69,13,4.3,0.415,0.461,0.29,0.692,20.9,5.1,2.4,2.2,0.4
1997-98,Omar Sneed,Memphis,29,,605,266,64,47,11,5.8,0.585,0.604,0.238,0.667,20.9,9.2,2.2,1.6,0.4
1997-98,Sean Colson,Charlotte,29,28,451,90,231,39,9,3.5,0.383,0.438,0.316,0.882,15.6,3.1,8,1.3,0.3
1997-98,Aaron Hutchins,Marquette,27,22,411,85,104,33,1,4.4,0.442,0.47,0.41,0.83,15.2,3.1,3.9,1.2,0
1997-98,Kelly McCarty,Southern Mississippi,33,,483,266,49,31,47,5.2,0.495,0.511,0.324,0.729,14.6,8.1,1.5,0.9,1.4
1997-98,Kenyon Martin,Cincinnati,30,30,298,267,41,30,83,7,0.626,0.629,0,0.476,9.9,8.9,1.4,1,2.8
1997-98,Melvin Levett,Cincinnati,33,21,465,155,46,32,10,3.9,0.417,0.454,0.378,0.75,14.1,4.7,1.4,1,0.3
1997-98,Ruben Patterson,Cincinnati,19,14,313,119,41,22,12,3,0.472,0.555,0.269,0.602,16.5,6.3,2.2,1.2,0.6
1997-98,Cedric Dixon,UAB,33,33,439,101,107,43,6,3.1,0.405,0.423,0.388,0.743,13.3,3.1,3.2,1.3,0.2
1997-98,Detric Golden,Memphis,29,23,413,77,88,43,1,2.9,0.43,0.425,0.439,0.735,14.2,2.7,3,1.5,0
1997-98,Galen Robinson,Houston,29,,401,233,40,26,37,2.6,0.528,0.528,0.5,0.721,13.8,8,1.4,0.9,1.3
1997-98,Jimmie Floyd,Southern Mississippi,33,,459,139,64,23,12,3.8,0.399,0.4,0.398,0.874,13.9,4.2,1.9,0.7,0.4
1997-98,Willie Coleman,DePaul,30,29,473,105,84,100,2,3.2,0.411,0.467,0.351,0.632,15.8,3.5,2.8,3.3,0.1
1996-97,Carlos Williams,UAB,32,32,629,318,54,40,24,3.7,0.408,0.427,0.296,0.665,19.7,9.9,1.7,1.3,0.8
1996-97,Danny Fortson,Cincinnati,33,33,703,299,36,19,15,8.5,0.62,0.621,0,0.772,21.3,9.1,1.1,0.6,0.5
1996-97,DeJuan Wheat,Louisville,35,34,607,77,149,68,5,4.6,0.425,0.527,0.357,0.743,17.3,2.2,4.3,1.9,0.1
1996-97,DeMarco Johnson,Charlotte,31,30,584,263,44,39,18,5.7,0.47,0.486,0.306,0.79,18.8,8.5,1.4,1.3,0.6
1996-97,Jerald Honeycutt,Tulane,31,30,618,201,131,75,45,4.9,0.432,0.502,0.333,0.708,19.9,6.5,4.2,2.4,1.5
1996-97,Aaron Hutchins,Marquette,31,31,415,97,172,62,1,4.7,0.418,0.491,0.353,0.698,13.4,3.1,5.5,2,0
1996-97,Alvin Sims,Louisville,35,35,394,204,93,85,19,3.6,0.457,0.507,0.321,0.622,11.3,5.8,2.7,2.4,0.5
1996-97,Cedric Henderson,Memphis,31,31,497,203,43,60,32,3.7,0.417,0.46,0.263,0.689,16,6.5,1.4,1.9,1
1996-97,James Harper,South Florida,26,26,445,230,17,32,16,3.3,0.484,0.528,0.255,0.659,17.1,8.8,0.7,1.2,0.6
1996-97,Sean Colson,Charlotte,31,30,438,100,196,49,4,3.5,0.386,0.43,0.32,0.77,14.1,3.2,6.3,1.6,0.1
1996-97,Chris Crawford,Marquette,31,31,463,165,45,33,22,5.2,0.469,0.496,0.384,0.769,14.9,5.3,1.5,1.1,0.7
1996-97,Darnell Burton,Cincinnati,33,,455,98,101,37,1,3.8,0.408,0.425,0.398,0.774,13.8,3,3.1,1.1,0
1996-97,Galen Robinson,Houston,27,,458,243,33,30,29,2.9,0.568,0.57,0,0.592,17,9,1.2,1.1,1.1
1996-97,Jeff Harris,Saint Louis,29,29,374,205,54,22,2,3.3,0.419,0.422,0,0.756,12.9,7.1,1.9,0.8,0.1
1996-97,Rayshard Allen,Tulane,22,21,322,156,64,27,9,2.9,0.538,0.551,0.333,0.648,14.6,7.1,2.9,1.2,0.4
1995-96,Jerald Honeycutt,Tulane,32,,576,229,120,55,46,3.1,0.402,0.447,0.292,0.64,18,7.2,3.8,1.7,1.4
1995-96,Lorenzen Wright,Memphis,30,30,523,313,35,40,59,6.5,0.542,0.543,0,0.645,17.4,10.4,1.2,1.3,2
1995-96,Amal McCaskill,Marquette,30,30,310,266,38,17,55,5.2,0.549,0.55,0.5,0.649,10.3,8.9,1.3,0.6,1.8
1995-96,Chucky Atkins,South Florida,28,,541,85,111,35,7,4.6,0.432,0.503,0.373,0.773,19.3,3,4,1.3,0.3
1995-96,Damien Smith,Southern Mississippi,23,,398,102,73,38,2,1.8,0.381,0.409,0.311,0.741,17.3,4.4,3.2,1.7,0.1
1995-96,DeMarco Johnson,Charlotte,29,29,526,254,32,31,17,4.6,0.499,0.517,0.208,0.665,18.1,8.8,1.1,1.1,0.6
1995-96,Rayshard Allen,Tulane,31,,403,210,53,31,22,4.2,0.575,0.586,0,0.636,13,6.8,1.7,1,0.7

